,date,Count,VWAP,season,RSI_30,ATR_30,DEMA_30,RSI_120,ATR_120,DEMA_120,RSI_240,ATR_240,DEMA_240,SMA_30,return_30,SMA_120,return_120,SMA_240,return_240,HL,OC,lower_shadow,upper_shadow,Target
0,2021-01-01 00:00:00,11438.0,340.17648,1.0,70.11846,1.2193339,341.52148,46.352856,1.1370437,340.39923,50.24507,1.0073867,341.24164,-0.0033702366,0.008894086,-0.00018659519,-0.007712364,0.0019531639,0.0009057522,0.88788825,0.0,-0.64757085,0.6365846,-0.0005240096
1,2021-01-01 01:00:00,20341.0,347.1616,1.0,59.490826,1.4516703,349.87704,58.51697,1.3947101,347.3883,54.520355,1.1455123,345.25842,-0.004194943,0.0069818497,-0.01864029,0.022858739,-0.01825629,0.02030921,0.03922893,0.0,-1.1498606,-0.40045753,-0.0009525049
2,2021-01-01 02:00:00,17397.0,348.74887,1.0,72.49759,1.4949341,352.7731,64.14013,1.4455676,350.81622,56.336235,1.2913057,348.72354,-0.01377508,0.01811874,-0.01915349,0.038549304,-0.028225787,0.030539632,0.8241749,-0.75502,-0.0408309,-0.16251175,-0.0012681102
3,2021-01-01 03:00:00,13479.0,352.5422,1.0,39.537075,1.1463307,352.0033,51.577038,1.3628163,353.39526,55.235153,1.3787632,352.1228,0.002805854,-0.0043407083,-0.00068699865,0.0037124157,-0.011478491,0.026655912,0.22314355,0.0,-0.80747247,-0.5942037,0.0017234818
4,2021-01-01 04:00:00,12435.0,351.18076,1.0,31.437643,1.2569987,348.36816,42.01259,1.30075,350.87094,53.870125,1.3731588,351.83975,0.0024183174,-0.009482384,0.008720477,-0.018160105,0.003854359,0.019689083,0.13104111,0.0,-0.8362105,-0.9942655,0.0014884286
5,2021-01-01 05:00:00,6177.0,348.72708,1.0,50.638554,1.1103343,348.5648,46.012222,1.1824166,348.82916,49.079113,1.2726165,350.39066,-7.832338e-05,0.00023913383,0.0028371923,-0.0076174736,0.0049104425,-0.0039334297,-0.16251175,0.0,-0.820975,-1.1316218,0.0045912527
6,2021-01-01 06:00:00,7418.0,348.84567,1.0,52.222107,1.1370006,348.54718,50.711464,1.1054986,348.7928,45.51301,1.2031243,349.88235,-0.00094705395,0.0007801056,9.139982e-05,0.0011093616,0.003847045,-0.01707089,0.17395535,-1.4991153,-0.8517532,-0.61617035,0.00053458405
7,2021-01-01 07:00:00,9214.0,346.5384,1.0,52.06614,1.2016642,346.24374,45.824142,1.1969979,346.549,45.924614,1.1897072,347.9535,0.0008504065,0.00071787834,0.005418432,-0.0070085526,0.007666845,-0.01457268,0.019791856,0.0,-0.9246569,-0.47804368,0.0018840568
8,2021-01-01 08:00:00,16148.0,343.40793,1.0,47.673985,1.3843303,342.4239,41.850285,1.3752484,342.95984,45.42826,1.2403735,344.8518,0.0019419664,-0.001458168,0.008738822,-0.018742979,0.013966464,-0.017654419,0.64710516,0.0,-0.12782782,-0.5446977,-0.0022321732
9,2021-01-01 09:00:00,7106.0,343.96048,1.0,54.183792,1.216334,344.43118,47.637543,1.3791661,343.2521,46.813606,1.288082,343.73218,-0.0010236403,0.0010993481,-0.0018967994,-0.0047952533,0.004183048,-0.011770189,0.31480718,-1.4991153,-0.18230936,-1.1605176,0.0028588448
10,2021-01-01 10:00:00,13728.0,347.32642,1.0,59.579674,1.2258321,348.80167,59.43557,1.3252909,347.28607,49.819435,1.3502697,345.88458,-0.0024851814,0.005189419,-0.008649038,0.018326998,-0.009032345,-0.0007594228,0.23111945,0.0,-0.34953323,-0.83818424,-0.0007797761
11,2021-01-01 11:00:00,7778.0,348.85684,1.0,47.65564,1.2150015,348.35214,54.983097,1.3302913,349.0248,51.448822,1.3547287,347.77966,0.0007568487,-0.0010014772,-0.00043935713,0.010959864,-0.00657831,0.0061119795,0.13975663,0.0,-0.79293513,-0.37834,-0.0057389312
12,2021-01-01 12:00:00,19291.0,349.0615,1.0,41.29409,1.5443329,348.85162,48.301834,1.3492503,349.78177,53.553265,1.3372706,348.9782,0.007966116,-0.0061223507,0.004560132,-0.0036281943,-0.00023951153,0.014632344,0.30010912,-1.9780685,-0.5418605,-0.46202773,4.697659e-06
13,2021-01-01 13:00:00,7875.0,348.6913,1.0,48.45072,1.1459961,348.4376,50.41546,1.3248322,349.03558,52.726105,1.3275617,349.08295,-0.0002617835,-0.00069510937,0.0010185387,0.000882864,-0.00015125833,0.011852384,0.019791856,-2.2071307,-0.54475033,-1.1087034,6.383644e-05
14,2021-01-01 14:00:00,12289.0,349.4743,1.0,29.50512,1.3666667,348.68332,51.01374,1.349915,349.50546,49.625465,1.3495827,349.56717,0.003924102,-0.008899748,0.0028536841,0.0020725727,0.0026680643,-0.0015631318,-0.07257857,0.0,-0.7765474,-0.9875248,-0.0022153016
