date,Count,HL,OC,upper_shadow,lower_shadow,VWAP,season,Target,Open
2018-01-01 00:00:00,-0.43458843,-0.2578379,1.3795373,0.1340231,-0.56315166,-0.48661366,1.0,-1.4150031,8.53
2018-01-01 01:00:00,-0.45184806,-0.34903255,0.5873666,0.1340231,-0.56315166,-0.4870083,1.0,1.9604896,8.3558
2018-01-01 02:00:00,-0.45647976,-0.07187931,0.044787314,0.1340231,-0.56315166,-0.4872457,1.0,0.80518013,8.22
2018-01-01 03:00:00,-0.45503783,-0.37054035,0.22505993,0.1340231,-0.5581294,-0.48668337,1.0,-0.60183746,8.2972
2018-01-01 04:00:00,-0.45857716,-0.39234382,0.34368065,0.1340231,-0.5581294,-0.48629388,1.0,0.1411355,8.3612
2018-01-01 05:00:00,-0.44935745,-0.12659816,0.4690246,0.1340231,-0.5581294,-0.48562318,1.0,-0.0019203832,8.4854
2018-01-01 06:00:00,-0.45966953,-0.7558995,0.16497724,0.1340231,-0.5581294,-0.48575994,1.0,0.82134485,8.4531
2018-01-01 07:00:00,-0.43244734,-0.63959,0.49364078,0.1340231,-0.5581294,-0.48569697,1.0,3.2796328,8.5533
2018-01-01 08:00:00,-0.4515422,-0.69351864,0.44494954,0.1340231,-0.56315166,-0.48625877,1.0,0.8065625,8.3852
2018-01-01 09:00:00,-0.46146104,-0.7801507,0.09678697,0.1340231,-0.56315166,-0.48637795,1.0,-0.63250023,8.3927
2018-01-01 10:00:00,-0.46578687,-0.52968323,0.7389014,0.1340231,-0.5581294,-0.4864904,1.0,-3.7517715,8.4405
2018-01-01 11:00:00,-0.4126534,-0.42330158,0.41489732,0.1340231,-0.5581294,-0.48805198,1.0,0.32965547,8.3827
2018-01-01 12:00:00,-0.4597569,-0.50151545,0.49807745,0.1340231,-0.1943386,-0.48780864,1.0,-3.0042481,8.18
2018-01-01 13:00:00,-0.4346758,-0.62415,0.68812734,0.1340231,-0.5581294,-0.4889055,1.0,-2.7864413,8.2
2018-01-01 14:00:00,-0.43777817,-0.2696636,-0.011557266,0.1340231,-0.5606345,-0.48957175,1.0,-0.54576766,7.9642
2018-01-01 15:00:00,-0.44896418,-0.7718552,0.12148957,0.1340231,-0.56315166,-0.48842764,1.0,-0.2322529,8.117
2018-01-01 16:00:00,-0.459888,-0.43398362,0.77842295,0.1340231,-0.5581294,-0.4888105,1.0,1.4528589,8.116
2018-01-01 17:00:00,-0.46023756,-0.5773498,0.6487252,0.1340231,-0.56315166,-0.48879686,1.0,-0.44249105,8.0193
