date,Count,HL,OC,upper_shadow,lower_shadow,VWAP,Target,Open
2020-01-01 00:00:00,16090.0,3.728759,-0.14739163,3.359283,2.6971183,7173.707,0.26489604,7178.2114
2020-01-01 01:00:00,22046.0,3.7306492,-0.08390288,3.6498842,2.7058668,7194.606,-0.2528088,7168.2812
2020-01-01 02:00:00,17566.0,3.73115,0.05013484,3.3473136,2.6713498,7221.3203,1.3069305,7208.9795
2020-01-01 03:00:00,17214.0,3.690974,-0.06949997,3.3486526,2.6454542,7221.7817,-0.39543545,7234.2173
2020-01-01 04:00:00,12307.0,3.7395484,-0.47938976,3.2869542,2.7032535,7213.713,-0.040143594,7215.2974
2020-01-01 05:00:00,13000.0,3.6617198,-0.32095155,3.1855936,2.726978,7213.9097,-0.29723036,7207.469
2020-01-01 06:00:00,17822.0,3.5113668,-0.5382386,3.0424044,2.5146124,7219.294,0.39227778,7210.72
2020-01-01 07:00:00,17118.0,3.549763,-0.33968168,3.4377604,2.5030515,7212.352,-1.0038317,7216.483
2020-01-01 08:00:00,19657.0,3.6755223,-0.23764342,3.3510513,2.6347582,7186.3906,-0.39763293,7199.667
2020-01-01 09:00:00,15322.0,3.552414,-0.45493066,3.066985,2.5099406,7191.4404,-0.2850258,7192.857
2020-01-01 10:00:00,12120.0,3.4511063,-0.2946153,3.0106113,2.4292264,7195.445,-0.11543439,7184.36
2020-01-01 11:00:00,21725.0,3.5884757,-0.14207417,3.371664,2.4945846,7206.0137,0.41678748,7197.0503
2020-01-01 12:00:00,17449.0,3.4916763,-0.16580155,3.0618336,2.4442134,7207.8027,-0.47723976,7189.842
2020-01-01 13:00:00,15580.0,3.473625,-0.35236534,3.044662,2.3255136,7215.7793,0.2892465,7217.5513
2020-01-01 14:00:00,18005.0,3.6552026,-0.026075644,3.3113232,2.5628815,7216.058,1.2338849,7213.7
2020-01-01 15:00:00,24466.0,3.6953797,-0.109482065,3.6843772,2.5131104,7222.4224,-0.7142611,7214.5957
2020-01-01 16:00:00,18726.0,3.6325467,-0.06868567,3.3654926,2.3769023,7220.7266,-0.17174077,7227.289
2020-01-01 17:00:00,19694.0,3.6640575,0.006486844,3.4731698,2.430688,7234.0825,0.6190459,7237.631
2020-01-01 18:00:00,16917.0,3.7352252,-0.077008024,3.5087137,2.2774677,7231.7153,-1.0370786,7233.054
2020-01-01 19:00:00,13434.0,3.758723,-0.09550667,3.4188147,2.4806252,7225.9253,0.02340133,7237.0366
